"Time [s]";"Pressure [mmHg]";
12.70;87.52;
12.71;87.61;
12.72;87.47;
12.73;87.47;
12.74;87.42;
12.75;87.59;
12.76;87.69;
12.77;87.69;
12.78;87.55;
12.79;87.61;
12.80;87.52;
12.81;87.50;
12.82;87.48;
12.83;87.75;
12.84;87.55;
12.85;87.52;
12.86;87.52;
12.87;87.62;
12.88;87.45;
12.89;87.66;
12.90;87.50;
12.91;87.52;
12.92;87.64;
12.93;87.39;
12.94;87.58;
12.95;87.52;
12.96;87.02;
12.97;83.45;
12.98;79.28;
12.99;75.88;
13.00;72.50;
13.01;69.38;
13.02;67.08;
13.03;66.80;
13.04;67.27;
13.05;67.53;
13.06;67.45;
13.07;67.23;
13.08;67.25;
13.09;67.05;
13.10;67.28;
13.11;67.12;
13.12;67.11;
13.13;67.11;
13.14;67.34;
13.15;67.22;
13.16;67.28;
13.17;67.25;
13.18;67.28;
13.19;67.25;
13.20;67.27;
13.21;67.31;
13.22;67.45;
13.23;67.19;
13.24;67.11;
13.25;67.28;
13.26;67.38;
13.27;67.31;
13.28;67.31;
13.29;67.25;
13.30;67.39;
13.31;67.38;
13.32;67.36;
13.33;67.27;
13.34;67.34;
13.35;67.41;
13.36;67.38;
13.37;67.34;
13.38;67.38;
13.39;67.34;
13.40;67.48;
13.41;67.42;
13.42;67.36;
13.43;67.48;
13.44;67.44;
13.45;67.48;
13.46;67.34;
13.47;67.55;
13.48;67.42;
13.49;67.53;
13.50;67.50;
13.51;67.50;
13.52;67.45;
13.53;67.52;
13.54;67.70;
13.55;67.55;
13.56;67.41;
13.57;67.53;
13.58;67.58;
13.59;67.58;
13.60;67.34;
13.61;67.69;
13.62;67.55;
13.63;67.47;
13.64;67.44;
13.65;67.42;
13.66;67.47;
13.67;67.44;
13.68;67.62;
13.69;67.67;
13.70;67.56;
13.71;67.45;
13.72;67.64;
13.73;67.83;
13.74;67.64;
13.75;67.58;
13.76;67.45;
13.77;67.59;
13.78;67.62;
13.79;67.55;
13.80;67.66;
13.81;67.59;
13.82;67.70;
13.83;67.69;
13.84;67.73;
13.85;67.66;
13.86;67.69;
13.87;67.61;
13.88;67.62;
13.89;67.78;
13.90;67.67;
13.91;67.48;
13.92;67.61;
13.93;67.58;
13.94;67.36;
13.95;67.48;
13.96;67.64;
13.97;67.59;
13.98;67.69;
13.99;67.59;
14.00;67.50;
14.01;67.75;
14.02;67.55;
14.03;67.47;
14.04;67.56;
14.05;67.53;
14.06;67.62;
14.07;67.64;
14.08;67.64;
14.09;67.73;
14.10;67.81;
14.11;67.66;
14.12;67.66;
14.13;67.56;
14.14;67.70;
14.15;67.64;
14.16;67.55;
14.17;67.58;
14.18;67.59;
14.19;67.53;
14.20;67.56;
14.21;67.56;
14.22;67.61;
14.23;68.03;
14.24;72.16;
14.25;77.50;
14.26;80.28;
14.27;82.17;
14.28;85.58;
14.29;88.95;
14.30;88.73;
14.31;87.39;
14.32;87.00;
14.33;87.20;
14.34;87.44;
14.35;87.55;
14.36;87.28;
14.37;87.48;
14.38;87.62;
14.39;87.50;
14.40;87.41;
14.41;87.38;
14.42;87.39;
14.43;87.39;
14.44;87.27;
14.45;87.27;
14.46;87.38;
14.47;87.45;
14.48;87.42;
14.49;87.33;
14.50;87.33;
14.51;87.41;
14.52;87.42;
14.53;87.39;
14.54;87.48;
14.55;87.44;
14.56;87.16;
14.57;87.16;
14.58;87.14;
14.59;87.12;
14.60;87.12;
14.61;87.22;
14.62;87.20;
14.63;87.30;
14.64;87.22;
14.65;87.16;
14.66;87.14;
14.67;86.94;
14.68;87.11;
14.69;87.19;
14.70;87.33;
14.71;87.17;
14.72;87.16;
14.73;87.06;
14.74;87.22;
14.75;87.19;
14.76;87.22;
14.77;87.19;
14.78;87.16;
14.79;87.06;
14.80;87.11;
14.81;87.19;
14.82;87.11;
14.83;87.02;
14.84;87.11;
14.85;87.17;
14.86;87.08;
14.87;87.02;
14.88;87.14;
14.89;87.00;
14.90;87.06;
14.91;87.05;
14.92;86.92;
14.93;87.17;
14.94;87.12;
14.95;87.03;
14.96;87.28;
14.97;87.22;
14.98;87.02;
14.99;87.05;
15.00;87.11;
15.01;87.08;
15.02;87.22;
15.03;87.14;
15.04;87.14;
15.05;87.11;
15.06;86.95;
15.07;86.89;
15.08;86.95;
15.09;87.23;
15.10;87.17;
15.11;87.14;
15.12;87.17;
15.13;87.16;
15.14;87.19;
15.15;87.17;
15.16;87.14;
15.17;87.20;
15.18;87.17;
15.19;87.05;
15.20;87.05;
15.21;87.06;
15.22;86.94;
15.23;87.14;
15.24;87.06;
15.25;86.91;
15.26;87.00;
15.27;87.02;
15.28;87.06;
15.29;86.97;
15.30;86.94;
15.31;87.00;
15.32;87.11;
15.33;87.11;
15.34;87.06;
15.35;86.92;
15.36;87.16;
15.37;87.02;
15.38;87.03;
15.39;87.11;
15.40;87.05;
15.41;87.14;
15.42;87.06;
15.43;87.08;
